,Unnamed: 0,leftCodoAng,rightCodoAng,lefthombroAng,righthombroAng,leftRodillaAng,rightRodillaAng,trunkAng,neckAng,x,y,z,r,elev,az
697,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8,3.6,0.9,3.7960505792204615,13.714765711639625,77.47119229084849
698,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8,4.9,-0.3,4.973932046178356,-3.4578623947727007,80.7273982227997
699,1,0.4705882352941176,0.4313725490196079,0.5098039215686274,0.3725490196078432,0.392156862745098,0.4117647058823529,0.6862745098039216,1.0,0.9,0.1,-2.8,2.942787793912432,-72.07844969560419,6.34019174590991
700,1,0.4901960784313725,0.5098039215686274,0.5098039215686274,0.3333333333333333,0.4313725490196079,0.4509803921568628,0.6666666666666666,0.9803921568627452,0.9,0.2,-2.2,2.3853720883753127,-67.26289446152784,12.528807709151511
701,1,0.4901960784313725,0.392156862745098,0.4705882352941176,0.2549019607843137,0.3333333333333333,0.4313725490196079,0.6666666666666666,0.35294117647058826,0.9,0.2,3.3,3.4263683398023628,74.39069248699491,12.528807709151511
702,1,0.9019607843137256,0.392156862745098,0.4901960784313725,0.2549019607843137,0.3137254901960784,0.4509803921568628,0.6470588235294118,0.3333333333333333,0.9,0.2,4.9,4.985980344927165,79.34415193362541,12.528807709151511
703,1,0.5098039215686274,0.4117647058823529,0.4901960784313725,0.3137254901960784,0.3333333333333333,0.5882352941176471,0.6666666666666666,0.17647058823529413,0.9,0.3,2.0,2.2135943621178655,64.6230664748477,18.43494882292201
704,1,0.4901960784313725,0.5294117647058824,0.4117647058823529,0.35294117647058826,0.3725490196078432,0.392156862745098,0.6666666666666666,0.9803921568627452,0.9,0.6,-3.0,3.189043743820395,-70.17297134659184,33.690067525979785
705,1,0.4901960784313725,0.5098039215686274,0.4313725490196079,0.35294117647058826,0.392156862745098,0.4117647058823529,0.6862745098039216,0.6274509803921569,0.9,0.7,-3.1,3.3030289129827493,-69.80655236845647,37.8749836510982
706,1,0.5294117647058824,0.4313725490196079,0.35294117647058826,0.3137254901960784,0.2352941176470588,0.35294117647058826,0.6666666666666666,0.21568627450980396,0.9,0.9,2.9,3.167017524422623,66.3036244318919,45.0
707,1,0.9019607843137256,0.4901960784313725,0.29411764705882354,0.3137254901960784,0.35294117647058826,0.2549019607843137,0.4117647058823529,0.21568627450980396,0.9,1.6,1.0,2.0904544960366875,28.578663661082263,60.64224645720873
708,1,0.4901960784313725,0.5294117647058824,0.3725490196078432,0.35294117647058826,0.4509803921568628,0.3725490196078432,0.7450980392156863,0.3333333333333333,0.9,1.7,-2.1,2.8478061731796283,-47.511229824618646,62.10272896905237
